           Time    Speed        Read     Read   Mapped   Mapped   Mapped   Mapped Unmapped Unmapped Unmapped Unmapped
                    M/hr      number   length   unique   length   MMrate    multi   multi+       MM    short    other
May 13 02:24:15     85.8    78110258      202    90.0%    199.3     0.4%     3.7%     0.1%     0.0%     6.1%     0.0%
May 13 02:25:15     85.8    79532141      202    90.0%    199.3     0.4%     3.7%     0.1%     0.0%     6.1%     0.0%
May 13 02:26:15     85.9    81015845      202    90.0%    199.3     0.4%     3.7%     0.1%     0.0%     6.1%     0.0%
May 13 02:27:18     85.8    82499549      202    90.0%    199.3     0.4%     3.7%     0.1%     0.0%     6.1%     0.0%
May 13 02:28:18     85.7    83797790      202    90.0%    199.3     0.4%     3.7%     0.1%     0.0%     6.1%     0.0%
May 13 02:29:18     85.7    85219673      202    90.0%    199.3     0.4%     3.7%     0.1%     0.0%     6.1%     0.0%
May 13 02:30:19     85.7    86641556      202    90.0%    199.3     0.4%     3.7%     0.1%     0.0%     6.1%     0.0%
May 13 02:31:21     85.8    88248902      202    90.0%    199.3     0.4%     3.7%     0.1%     0.0%     6.1%     0.0%
May 13 02:49:56     66.4    88931260      202    90.0%    199.3     0.4%     3.7%     0.1%     0.0%     6.1%     0.0%
ALL DONE!
